step,particle,x,y,z
20,9,36.807297,-8.786198,35.271420
21,0,53.873520,-26.312290,7.797716
21,1,22.877562,-33.434891,4.220528
21,2,59.218727,-21.004036,15.854257
21,3,32.081261,3.161842,28.386200
21,4,42.934387,-24.500586,44.175598
21,5,29.618048,-25.112156,24.949768
21,6,56.798836,-17.193846,38.348869
21,7,29.183308,-13.433662,49.625023
21,8,10.638813,0.276903,29.888414
21,9,75.549347,-11.095212,26.302784
22,0,20.676859,-9.460939,55.521496
22,1,61.711090,-22.317139,48.016579
22,2,3.331043,-8.524687,28.395508
22,3,36.437328,-20.619732,20.585835
22,4,52.911629,-21.617361,45.109947
22,5,57.275215,6.616617,14.833825
22,6,32.258118,-31.113623,31.063652
22,7,35.396667,-18.284361,48.608837
22,8,59.602974,-40.720573,28.222164
22,9,66.060471,-20.139900,-9.139360
23,0,21.152166,-53.033363,27.634407
23,1,41.091103,-25.963829,58.212910
23,2,51.384697,-17.305655,35.762360
23,3,50.453133,-3.916967,46.960663
23,4,48.572166,-21.696342,63.539848
23,5,40.380440,-7.069873,32.725353
23,6,39.014145,-9.761335,46.531197
23,7,56.520248,-19.980190,52.043999
23,8,40.430698,-0.146296,34.146122
23,9,12.861130,-37.138100,20.893414
24,0,47.159950,10.395733,19.687992
24,1,13.577999,-15.390224,51.247108
24,2,59.875076,-31.130013,35.984737
24,3,77.395149,-23.640347,29.475185
24,4,39.918686,-14.700202,-4.378031
24,5,51.449505,-18.456228,22.108345
24,6,37.071503,-8.771593,29.797665
24,7,45.811275,7.591515,32.871826
24,8,41.522495,-32.926224,10.112455
24,9,28.211494,-25.849016,31.946432
25,0,20.783245,-41.559341,18.854984
25,1,48.307533,-29.593147,65.994781
25,2,50.535484,-28.722591,22.711426
25,3,21.703798,-22.735670,23.893768
25,4,51.639000,-10.489939,47.363388
25,5,34.332886,-37.581413,31.933113
25,6,41.935822,6.266817,28.112452
25,7,62.818199,-16.744236,23.683401
25,8,41.388332,-31.326824,26.355381
25,9,56.924606,-0.366873,10.916864
26,0,39.117355,-24.989405,7.936195
26,1,34.439400,-13.197678,20.003559
26,2,75.842522,-58.028046,42.910423
26,3,45.602619,15.825975,53.028526
26,4,43.651588,-2.344292,35.904961
26,5,47.184441,-10.617390,18.251942
26,6,49.159294,-15.158903,20.119318
26,7,47.482727,-25.273970,29.910583
26,8,45.550953,-21.322771,13.161804
26,9,32.271076,-17.381353,54.919228
27,0,19.547403,-2.451179,31.085773
27,1,47.981728,-17.795416,26.774481
27,2,38.006035,-26.730661,-4.327127
27,3,63.939373,-24.214220,34.343662
27,4,29.824930,-25.815025,45.114952
27,5,54.042759,-15.758612,21.899776
27,6,46.620182,-33.192436,21.146296
27,7,63.383797,-5.664581,13.655006
27,8,29.195177,-20.612236,47.649727
27,9,40.404945,-32.943306,19.714746
28,0,29.677853,-12.607845,40.180504
28,1,36.764904,-19.536106,36.979931
28,2,17.203232,-31.023689,35.074409
28,3,50.910351,-12.639315,43.676147
28,4,41.459000,-1.349394,68.989296
28,5,18.877689,-0.185827,28.032122
28,6,61.047226,-10.319747,24.428699
28,7,32.002708,-32.744293,34.280624
28,8,67.925850,-48.111305,21.199308
28,9,32.687309,-35.818878,17.080521
29,0,25.228228,-20.335043,30.123735
29,1,38.442055,-17.018747,35.539215
29,2,58.587181,-6.094173,33.014046
29,3,44.535477,-34.640137,33.718933
29,4,23.744642,-10.333944,15.507563
29,5,62.397541,-31.119400,31.519497
29,6,39.485611,-27.819241,5.967564
29,7,28.589725,-25.437300,38.309593
29,8,29.430141,-13.251591,39.361191
29,9,47.417614,-5.795986,64.071220
30,0,55.454483,3.582800,39.362465
30,1,52.268902,-7.000045,34.956039
30,2,50.788307,-9.126964,13.611742
30,3,0.755173,-30.244919,28.654160
30,4,53.929268,-36.875839,29.310131
30,5,24.248135,-49.098221,24.769268
30,6,37.936993,2.997873,25.190775
30,7,44.591896,-36.046814,40.570160
30,8,33.097092,-14.619993,24.201483
30,9,23.399744,-27.903635,18.437014
31,0,33.901321,5.856796,40.494789
31,1,49.817242,-26.765471,30.528614
31,2,69.642982,5.918276,23.643734
31,3,41.881115,-5.306020,33.555939
31,4,18.799187,-7.853153,26.841167
31,5,53.295513,-10.426331,41.488701
31,6,32.314285,5.731520,33.432564
31,7,54.795849,-38.170521,31.231159
31,8,-0.037804,-23.354324,24.727737
31,9,39.182632,-45.860855,46.102356
32,0,49.571220,-33.143219,6.735313
32,1,29.024618,3.147085,37.304321
32,2,19.519806,-22.142632,37.023552
32,3,38.236610,-47.750938,21.117365
32,4,19.236374,-50.255104,38.300247
32,5,20.284782,-33.863358,23.759491
32,6,30.797237,1.657598,36.730640
32,7,73.528961,14.051474,10.239212
32,8,19.421732,-15.387339,32.132915
32,9,37.187969,-22.039013,21.607706
33,0,43.843567,-20.715393,25.749838
33,1,26.704620,-37.292507,64.419830
33,2,10.625443,-20.372101,36.350002
33,3,73.365067,-4.885322,48.174583
33,4,19.821852,-22.956160,22.123917
33,5,31.798569,-18.126909,24.773537
33,6,65.020058,-12.242153,38.372452
33,7,46.359344,-0.111353,50.291046
33,8,28.200987,-11.345488,28.620705
33,9,38.255157,-3.021597,17.080276
34,0,50.847610,-21.377085,19.903009
34,1,71.321945,-14.907499,34.135437
34,2,73.828819,-8.823887,46.708038
34,3,20.847631,-39.720528,7.231113
34,4,46.849560,-41.545265,16.782867
34,5,11.629206,1.067146,53.300053
34,6,54.424397,-51.172943,48.492142
34,7,43.759617,-22.749012,14.287008
34,8,15.715195,20.912313,7.473585
34,9,66.224472,-23.794226,30.688509
35,0,33.891602,-15.040625,41.526226
35,1,24.379114,-18.899979,11.396296
35,2,57.186867,-36.330799,37.146053
35,3,39.757854,-14.952419,18.753466
35,4,61.138992,-23.008291,31.375460
35,5,26.987411,-16.305145,51.745506
35,6,45.246655,-21.415792,10.968555
35,7,46.930527,-14.942210,50.249332
35,8,30.121620,-13.750693,55.434963
35,9,61.175461,-27.371819,39.901848
36,0,16.166584,-35.092552,33.596855
36,1,47.449360,-34.207882,16.273361
36,2,69.904198,-30.166168,46.069275
36,3,51.228924,9.212864,6.457970
36,4,51.898994,-12.235882,29.176746
36,5,59.637154,-14.700716,9.088793
36,6,66.704559,-37.874893,21.070631
36,7,44.771400,-31.812202,55.648804
36,8,57.528061,-3.787824,33.274845
36,9,39.458679,-22.073950,37.584251
37,0,46.005383,-4.762851,24.394293
37,1,23.923040,-27.857853,33.093983
37,2,45.741848,-25.677237,40.394379
37,3,23.850973,-12.682419,60.013039
37,4,27.113396,-26.535374,24.579311
37,5,44.985096,-41.504387,-5.658381
